input_symbol,reason_guess,fuzzy_close_matches,same_prefix_aliases
DSCR8,Not in id_map (possible alias / deprecated / non-protein-coding),DSCR;SMCR8;SCAR8;DSCR6;DSCR5,DSCR;DSCR1;DSCR1L1;DSCR1L2;DSCR2;DSCR3;DSCR5;DSCR6
LOC440925,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
LOC284276,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC440356,Non-canonical / lncRNA / LOC symbol,LOC440350,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
C6ORF218,Not in id_map (possible alias / deprecated / non-protein-coding),C6ORF28;C6ORF21;C6ORF18;C6ORF228;C6ORF221,C6ORF1;C6ORF10;C6ORF102;C6ORF103;C6ORF104;C6ORF105;C6ORF106;C6ORF107;C6ORF108;C6ORF109
FLJ16779,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ16793;FLJ16792;FLJ14779,FLJ10006;FLJ10007;FLJ10024;FLJ10033;FLJ10035;FLJ10036;FLJ10042;FLJ10051;FLJ10052;FLJ10053
LOC100127888,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
C6ORF223,Not in id_map (possible alias / deprecated / non-protein-coding),C6ORF23;C6ORF229;C6ORF228;C6ORF226;C6ORF225,C6ORF1;C6ORF10;C6ORF102;C6ORF103;C6ORF104;C6ORF105;C6ORF106;C6ORF107;C6ORF108;C6ORF109
SCAND3,Not in id_map (possible alias / deprecated / non-protein-coding),ZSCAN3;SCAND4;SCAND1;SND3;SCAD,SCAN-1;SCAN1;SCAND1;SCAND4
LOC389332,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
LOC389493,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
LOC121838,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
NCRNA00092,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00094;NCRNA00082;NCRNA00069;NCRNA00291;NCRNA00282,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
CT62,Not in id_map (possible alias / deprecated / non-protein-coding),CT2;CT6.2B;CT6.2A;CT46.2;CT16.2,
ABCC6P1,Not in id_map (possible alias / deprecated / non-protein-coding),ABCC6;ABCC1,ABCC1;ABCC10;ABCC11;ABCC12;ABCC2;ABCC3;ABCC4;ABCC5;ABCC6;ABCC7
CES4,Not in id_map (possible alias / deprecated / non-protein-coding),CES4A;CERS4;ES4;CES4C1,CES4A;CES4C1
LOC157381,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
C21ORF88,Not in id_map (possible alias / deprecated / non-protein-coding),C2ORF88;C21ORF98;C21ORF83;C21ORF80;C21ORF78,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
SNORD116-4,Small RNA / non-coding gene (often excluded),,SNORA80EHG;SNORC
LOC286002,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC400696,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
LOC391322,Non-canonical / lncRNA / LOC symbol,,LOC338328;LOC339804;LOC341346;LOC342897;LOC345222;LOC345630;LOC374920;LOC374973;LOC387715;LOC387804
C17ORF77,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF77;C21ORF77;C19ORF77;C17ORF97;C17ORF87,C17ORF1;C17ORF100;C17ORF101;C17ORF103;C17ORF104;C17ORF105;C17ORF106;C17ORF107;C17ORF108;C17ORF109
DKFZP434J0226,Not in id_map (possible alias / deprecated / non-protein-coding),DKFZP434J212;DKFZP434J046;DKFZP434P0216;DKFZP434K0322;DKFZP434J0617,DKFZP313A0139;DKFZP313A2432;DKFZP313B0440;DKFZP313B211;DKFZP313B2333;DKFZP313D0829;DKFZP313G1735;DKFZP313H0531;DKFZP313H0817;DKFZP313I2429
C8ORF86,Not in id_map (possible alias / deprecated / non-protein-coding),C9ORF86;C8ORF89;C8ORF88;C8ORF85;C8ORF84,C8ORF1;C8ORF13;C8ORF2;C8ORF20;C8ORF21;C8ORF22;C8ORF30A;C8ORF30B;C8ORF32;C8ORF33
KLKP1,Not in id_map (possible alias / deprecated / non-protein-coding),KLP1;KLK1;MKLP1;KLRK1;KLKB1,
TMEM105,Not in id_map (possible alias / deprecated / non-protein-coding),TMEM15;TMEM10;TMEM215;TMEM210;TMEM205,TMEM1;TMEM10;TMEM100;TMEM101;TMEM102;TMEM103;TMEM104;TMEM106A;TMEM106A-AS1;TMEM106B
HERC2P4,Not in id_map (possible alias / deprecated / non-protein-coding),HERC4;HERC2,HERC1;HERC2;HERC3;HERC4;HERC5;HERC6
LOC400940,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
PP14571,Not in id_map (possible alias / deprecated / non-protein-coding),,PP14;PP1425;PP1498
LOC729156,Non-canonical / lncRNA / LOC symbol,,LOC728008;LOC728591;LOC728621;LOC728858
LOC93432,Non-canonical / lncRNA / LOC symbol,,LOC90113;LOC91893;LOC92154;LOC93082
?|553137,Unknown placeholder / assembler tag,,
HAR1B,Not in id_map (possible alias / deprecated / non-protein-coding),SAR1B;PAR1B;HTR1B;HCAR1;HARS1,
HILS1,Not in id_map (possible alias / deprecated / non-protein-coding),HYLS1;HOIL1;HCLS1,
C21ORF128,Not in id_map (possible alias / deprecated / non-protein-coding),C21ORF18;C1ORF128;C21ORF258;C21ORF124;C21ORF112,C21ORF1;C21ORF10;C21ORF101;C21ORF102;C21ORF103;C21ORF105;C21ORF106;C21ORF107;C21ORF108;C21ORF11
NCRNA00160,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00176;NCRNA00166;NCRNA00164;NCRNA00116;NCRNA00341,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
PEG3AS,Not in id_map (possible alias / deprecated / non-protein-coding),PEG3;PEAS,PEG3
CXCR2P1,Not in id_map (possible alias / deprecated / non-protein-coding),CXCR2;CXCR1,CXCR1;CXCR2;CXCR3;CXCR4;CXCR5;CXCR6;CXCR7
LOC643763,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
LOC100133469,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
KIAA0125,Not in id_map (possible alias / deprecated / non-protein-coding),KIAA2025;KIAA2015;KIAA2012;KIAA1825;KIAA1725,KIAA-ISO;KIAA0001;KIAA0003;KIAA0004;KIAA0005;KIAA0006;KIAA0007;KIAA0008;KIAA0009;KIAA0010
DUSP5P,Not in id_map (possible alias / deprecated / non-protein-coding),DUSP5;DUSP25;DUSP15;USP5;DSPP,DUSP1;DUSP10;DUSP11;DUSP12;DUSP13;DUSP14;DUSP15;DUSP16;DUSP17;DUSP18
MGC2889,Not in id_map (possible alias / deprecated / non-protein-coding),MGC8898;MGC8489;MGC4289;MGC2488;MGC88819,MGC20089;MGC20134;MGC20149;MGC20197;MGC20204;MGC2022;MGC20235;MGC20255;MGC20262;MGC20339
LOC285629,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
TLX1NB,Not in id_map (possible alias / deprecated / non-protein-coding),TLX1,TLX1
FLJ41941,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ41841;FLJ41791;FLJ41471;FLJ41411;FLJ41410,FLJ40069;FLJ40081;FLJ40083;FLJ40084;FLJ40089;FLJ40097;FLJ40121;FLJ40125;FLJ40137;FLJ40142
MIMT1,Not in id_map (possible alias / deprecated / non-protein-coding),MIT1;SMIT1;SMIM1;MMGT1;MITD1,
CCL3L3,Not in id_map (possible alias / deprecated / non-protein-coding),CCL3L1;CCL3,CCL3;CCL3L1
FOLH1B,Not in id_map (possible alias / deprecated / non-protein-coding),FOLH1;FOLH,FOLH;FOLH1
TRY6,Not in id_map (possible alias / deprecated / non-protein-coding),TR6,
NAP1L6,Not in id_map (possible alias / deprecated / non-protein-coding),NAP1L5;NAP1L4;NAP1L3;NAP1L2;NAP1L1,NAP1;NAP125;NAP1L1;NAP1L2;NAP1L3;NAP1L4;NAP1L5
LOC145837,Non-canonical / lncRNA / LOC symbol,LOC145853,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
NCRNA00093,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00094;NCRNA00083;NCRNA00069;NCRNA00036;NCRNA00341,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
LOC100132354,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC285548,Non-canonical / lncRNA / LOC symbol,LOC285498,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
FAM106A,Not in id_map (possible alias / deprecated / non-protein-coding),FAM216A;FAM210A;FAM206A;FAM196A;FAM190A,FAM100A;FAM100B;FAM101A;FAM101B;FAM102A;FAM102B;FAM103A1;FAM103A2P;FAM104A;FAM104B
LOC255167,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
TUBBP5,Not in id_map (possible alias / deprecated / non-protein-coding),TUBB5;TUBB,TUBB;TUBB1;TUBB2;TUBB2A;TUBB2B;TUBB2C;TUBB3;TUBB4;TUBB4A;TUBB4B
LOC648691,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
LOC100188947,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
NCRNA00162,Not in id_map (possible alias / deprecated / non-protein-coding),NCRNA00176;NCRNA00166;NCRNA00164;NCRNA00116;NCRNA00341,NCRNA00036;NCRNA00069;NCRNA00080;NCRNA00081;NCRNA00082;NCRNA00083;NCRNA00085;NCRNA00086;NCRNA00087;NCRNA00094
DLX6AS,Not in id_map (possible alias / deprecated / non-protein-coding),DLX6,DLX6
C8ORF75,Not in id_map (possible alias / deprecated / non-protein-coding),C8ORF7;C8ORF5;C9ORF75;C8ORF85;C8ORF79,C8ORF1;C8ORF13;C8ORF2;C8ORF20;C8ORF21;C8ORF22;C8ORF30A;C8ORF30B;C8ORF32;C8ORF33
LOC440173,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
LOC284233,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC284749,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
TPRXL,Not in id_map (possible alias / deprecated / non-protein-coding),TPRX2;TPRX1;TPRGL;TPARL;TIPRL,TPRX1;TPRX2;TPRX2P;TPRX2P1
MT1DP,Not in id_map (possible alias / deprecated / non-protein-coding),MT1P2;KMT1D,
LOC100131726,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
PRSS45,Not in id_map (possible alias / deprecated / non-protein-coding),PRSS5;PRSS4;PRSS58;PRSS57;PRSS56,PRSS;PRSS1;PRSS10;PRSS11;PRSS12;PRSS14;PRSS15;PRSS16;PRSS17;PRSS18
FMO6P,Not in id_map (possible alias / deprecated / non-protein-coding),,
LOC146336,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
KAAG1,Not in id_map (possible alias / deprecated / non-protein-coding),A1AG1,
MGC14436,Not in id_map (possible alias / deprecated / non-protein-coding),MGC44316;MGC15436;MGC14836;MGC14439;MGC14386,MGC1;MGC10067;MGC10084;MGC1010;MGC10120;MGC10170;MGC10198;MGC10200;MGC10204;MGC10210
PLAC4,Not in id_map (possible alias / deprecated / non-protein-coding),PAC4;PLAC-24;XPLAC;PQLC4;PLCL4,PLAC-24;PLAC1;PLAC1L;PLAC2;PLAC3;PLAC6;PLAC8;PLAC8L1;PLAC8L2;PLAC9
LOC554202,Non-canonical / lncRNA / LOC symbol,,LOC51035;LOC51149;LOC51236;LOC51252;LOC51491;LOC54103;LOC54932;LOC57722
AACSL,Not in id_map (possible alias / deprecated / non-protein-coding),AACS;ACSL6;ACSL5;ACSL4;ACSL3,AACS
LILRA3,Not in id_map (possible alias / deprecated / non-protein-coding),LILRB3;LILRA6;LILRA5;LILRA4;LILRA2,LILRA1;LILRA2;LILRA4;LILRA5;LILRA6;LILRB1;LILRB2;LILRB3;LILRB4;LILRB5
C4ORF6,Not in id_map (possible alias / deprecated / non-protein-coding),C4ORF46;C4ORF36;C4ORF26;C4ORF16;C14ORF6,C4ORF1;C4ORF13;C4ORF14;C4ORF15;C4ORF16;C4ORF17;C4ORF18;C4ORF19;C4ORF20;C4ORF21
CLLU1OS,Not in id_map (possible alias / deprecated / non-protein-coding),,
FLJ45983,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ45913;FLJ45813;FLJ43983;FLJ34583,FLJ40069;FLJ40081;FLJ40083;FLJ40084;FLJ40089;FLJ40097;FLJ40121;FLJ40125;FLJ40137;FLJ40142
LOC642587,Non-canonical / lncRNA / LOC symbol,,LOC606495;LOC619208;LOC643338;LOC644994;LOC645811;LOC646174;LOC646892;LOC653319
RMST,Not in id_map (possible alias / deprecated / non-protein-coding),RST;MST,
LOC154822,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
MMP23A,Not in id_map (possible alias / deprecated / non-protein-coding),MMP23B;MMP3;MMP2,MMP2;MMP20;MMP21;MMP22;MMP23B;MMP24;MMP24-AS1;MMP24OS;MMP25;MMP26
LOC153910,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC440905,Non-canonical / lncRNA / LOC symbol,,LOC400451;LOC402665;LOC440087;LOC440145;LOC440348;LOC440350;LOC441376;LOC492311
BCAR4,Not in id_map (possible alias / deprecated / non-protein-coding),CAR4;CARD4;BCAS4;BCAR3;BCAR2,BCAR1;BCAR2;BCAR3
FMO9P,Not in id_map (possible alias / deprecated / non-protein-coding),,
C14ORF64,Not in id_map (possible alias / deprecated / non-protein-coding),C14ORF164;C1ORF64;C14ORF6;C14ORF4;C21ORF64,C14ORF1;C14ORF10;C14ORF100;C14ORF101;C14ORF102;C14ORF103;C14ORF104;C14ORF105;C14ORF106;C14ORF108
RAET1K,Not in id_map (possible alias / deprecated / non-protein-coding),RAET1N;RAET1L;RAET1I;RAET1H;RAET1G,RAET1E;RAET1G;RAET1H;RAET1I;RAET1L;RAET1N
C5ORF27,Not in id_map (possible alias / deprecated / non-protein-coding),C15ORF27;C5ORF7;CXORF27;C7ORF27;C6ORF27,C5ORF10;C5ORF11;C5ORF12;C5ORF13;C5ORF14;C5ORF15;C5ORF16;C5ORF18;C5ORF19;C5ORF20
C15ORF50,Not in id_map (possible alias / deprecated / non-protein-coding),C5ORF50;C1ORF50;C21ORF50;C1ORF150;C19ORF50,C15ORF1;C15ORF12;C15ORF13;C15ORF15;C15ORF16;C15ORF17;C15ORF18;C15ORF19;C15ORF2;C15ORF20
LOC148696,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
LOC55908,Non-canonical / lncRNA / LOC symbol,,LOC51035;LOC51149;LOC51236;LOC51252;LOC51491;LOC54103;LOC54932;LOC57722
NPY6R,Not in id_map (possible alias / deprecated / non-protein-coding),NPYR;NPYR5;NPY5R;NPY4R;NPY3R,
FLJ46111,Not in id_map (possible alias / deprecated / non-protein-coding),FLJ46116;FLJ14611,FLJ40069;FLJ40081;FLJ40083;FLJ40084;FLJ40089;FLJ40097;FLJ40121;FLJ40125;FLJ40137;FLJ40142
LOC100130933,Non-canonical / lncRNA / LOC symbol,LOC100130733,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
C18ORF16,Not in id_map (possible alias / deprecated / non-protein-coding),C1ORF16;C18ORF6;C18ORF1;C1ORF216;C1ORF196,C18ORF1;C18ORF10;C18ORF11;C18ORF14;C18ORF17;C18ORF19;C18ORF2;C18ORF21;C18ORF22;C18ORF24
TDH,Not in id_map (possible alias / deprecated / non-protein-coding),MTDH;TH,
LOC100144604,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
IGF2AS,Not in id_map (possible alias / deprecated / non-protein-coding),IGFALS;FGF2AS;IGF2,IGF2;IGF2BP1;IGF2BP2;IGF2BP3;IGF2R
PCDHB17,Not in id_map (possible alias / deprecated / non-protein-coding),PCDHB7;PCDHB1;PCDH17;PCDHGB7;PCDHGB1,PCDH-ALPHA-C2;PCDH-ALPHA10;PCDH-ALPHA11;PCDH-ALPHA12;PCDH-ALPHA13;PCDH-ALPHA3;PCDH-ALPHA4;PCDH-ALPHA5;PCDH-ALPHA6;PCDH-ALPHA9
LOC284551,Non-canonical / lncRNA / LOC symbol,,LOC201725;LOC220382;LOC255275;LOC257407;LOC283174;LOC283677;LOC284371;LOC285498;LOC285556;LOC285636
LOC100240726,Non-canonical / lncRNA / LOC symbol,,LOC100128569;LOC100129583;LOC100129792;LOC100130733;LOC100170765;LOC100170841;LOC121006;LOC123688;LOC124512;LOC126661
ESPNP,Not in id_map (possible alias / deprecated / non-protein-coding),ESPN;ESPNL,ESPN;ESPNL
CCDC144NL,Not in id_map (possible alias / deprecated / non-protein-coding),CCDC144A;CCDC44;CCDC14,CCDC10;CCDC100;CCDC101;CCDC102A;CCDC102B;CCDC103;CCDC104;CCDC105;CCDC106;CCDC107
EGOT,Not in id_map (possible alias / deprecated / non-protein-coding),,
BCL8,Not in id_map (possible alias / deprecated / non-protein-coding),BCL8B;BCL2L8,BCL8B
