input_col	mapped_ensembl	method
DPYSL5	ENSG00000157851	symbol
MAGEA1	ENSG00000198681	symbol
DLK1	ENSG00000185559	symbol
TNNI3	ENSG00000129991	symbol
AGR3	ENSG00000173467	symbol
ZIC2	ENSG00000043355	symbol
TSPAN8	ENSG00000127324	symbol
TCN1	ENSG00000134827	symbol
FGFBP1	ENSG00000137440	symbol
ACMSD	ENSG00000153086	symbol
EDN3	ENSG00000124205	symbol
HORMAD1	ENSG00000143452	symbol
GSTA1	ENSG00000243955	symbol
ZIC1	ENSG00000152977	symbol
MKRN3	ENSG00000179455	symbol
CWH43	ENSG00000109182	symbol
NLRP5	ENSG00000171487	symbol
KRT4	ENSG00000170477	symbol
SLC26A3	ENSG00000091138	symbol
KLK8	ENSG00000129455	symbol
A2ML1	ENSG00000166535	symbol
CYP2A7	ENSG00000198077	symbol
MS4A15	ENSG00000166961	symbol
MRAP	ENSG00000170262	symbol
SERPINA11	ENSG00000186910	symbol
GATA5	ENSG00000130700	symbol
CBLN2	ENSG00000141668	symbol
KIF1A	ENSG00000130294	symbol
LY6D	ENSG00000167656	symbol
PCK1	ENSG00000124253	symbol
TLX1	ENSG00000107807	symbol
MUC15	ENSG00000169550	symbol
SLC15A1	ENSG00000088386	symbol
SPAG6	ENSG00000077327	symbol
ROPN1	ENSG00000065371	symbol
KRT13	ENSG00000171401	symbol
TPSD1	ENSG00000095917	symbol
STON1-GTF2A1L	ENSG00000068781	symbol
ZFP57	ENSG00000204644	symbol
ADIPOQ	ENSG00000181092	symbol
SOX2	ENSG00000181449	symbol
PGLYRP2	ENSG00000161031	symbol
FABP6	ENSG00000170231	symbol
ADH1B	ENSG00000196616	symbol
KRT75	ENSG00000170454	symbol
KLK7	ENSG00000169035	symbol
TPSG1	ENSG00000116176	symbol
CYP4Z1	ENSG00000186160	symbol
UGT2B28	ENSG00000135226	symbol
CARTPT	ENSG00000164326	symbol
NPY5R	ENSG00000164129	symbol
PI3	ENSG00000124102	symbol
SCGN	ENSG00000079689	symbol
NELL1	ENSG00000165973	symbol
KLK5	ENSG00000167754	symbol
SCGB2A2	ENSG00000110484	symbol
AFP	ENSG00000081051	symbol
LEP	ENSG00000174697	symbol
MCCD1	ENSG00000204511	symbol
CRISP3	ENSG00000096006	symbol
PAH	ENSG00000171759	symbol
AQP5	ENSG00000161798	symbol
GPR26	ENSG00000154478	symbol
DCX	ENSG00000077279	symbol
CACNG6	ENSG00000130433	symbol
SOX10	ENSG00000100146	symbol
CR2	ENSG00000117322	symbol
NBPF4	ENSG00000196427	symbol
ANKRD30B	ENSG00000180777	symbol
ARX	ENSG00000004848	symbol
FAM25A	ENSG00000188100	symbol
CPNE4	ENSG00000196353	symbol
NTS	ENSG00000133636	symbol
CXADRP3	ENSG00000265766	symbol
KNDC1	ENSG00000171798	symbol
SLC6A15	ENSG00000072041	symbol
CDH19	ENSG00000071991	symbol
C14orf180	ENSG00000184601	symbol
IL20	ENSG00000162891	symbol
KRT6A	ENSG00000205420	symbol
SMYD1	ENSG00000115593	symbol
FGG	ENSG00000171557	symbol
IGDCC3	ENSG00000174498	symbol
DPP10	ENSG00000175497	symbol
DSG3	ENSG00000134757	symbol
BEX1	ENSG00000133169	symbol
NKX2-5	ENSG00000183072	symbol
SYT9	ENSG00000170743	symbol
PYY	ENSG00000131096	symbol
GABBR2	ENSG00000136928	symbol
CRABP1	ENSG00000166426	symbol
EMX1	ENSG00000135638	symbol
TMEM213	ENSG00000214128	symbol
SORCS1	ENSG00000108018	symbol
PAX2	ENSG00000075891	symbol
MYL7	ENSG00000106631	symbol
KLK6	ENSG00000167755	symbol
SCEL	ENSG00000136155	symbol
HEPACAM2	ENSG00000188175	symbol
PTPRZ1	ENSG00000106278	symbol
OLFM4	ENSG00000102837	symbol
MSLN	ENSG00000102854	symbol
PCSK2	ENSG00000125851	symbol
CSAG3	ENSG00000268916	symbol
KLK12	ENSG00000186474	symbol
PPP4R4	ENSG00000119698	symbol
CDH7	ENSG00000081138	symbol
C6	ENSG00000039537	symbol
UGT1A6	ENSG00000167165	symbol
SBSN	ENSG00000189001	symbol
KRT31	ENSG00000094796	symbol
MUC7	ENSG00000171195	symbol
DSG1	ENSG00000134760	symbol
TFAP2B	ENSG00000008196	symbol
MAGEA2	ENSG00000268606	symbol
UGT2B15	ENSG00000196620	symbol
GPR12	ENSG00000132975	symbol
TRH	ENSG00000170893	symbol
ART3	ENSG00000156219	symbol
ADAMTS19	ENSG00000145808	symbol
PIP	ENSG00000159763	symbol
RHCG	ENSG00000140519	symbol
SLC6A4	ENSG00000108576	symbol
ABCC8	ENSG00000006071	symbol
INSM1	ENSG00000173404	symbol
LBP	ENSG00000129988	symbol
CPLX2	ENSG00000145920	symbol
CEACAM5	ENSG00000105388	symbol
ZIC5	ENSG00000139800	symbol
ALOX12P2	ENSG00000262943	symbol
MUCL1	ENSG00000172551	symbol
COL2A1	ENSG00000139219	symbol
SCGB3A1	ENSG00000161055	symbol
MAGEC2	ENSG00000046774	symbol
B4GALNT2	ENSG00000167080	symbol
IVL	ENSG00000163207	symbol
CALML3	ENSG00000178363	symbol
SLC6A14	ENSG00000268104	symbol
TAT	ENSG00000198650	symbol
LDHC	ENSG00000166796	symbol
PTPRQ	ENSG00000139304	symbol
SLURP1	ENSG00000126233	symbol
ADH1A	ENSG00000187758	symbol
TMEM132C	ENSG00000181234	symbol
TCAM1P	ENSG00000240280	symbol
UGT2B4	ENSG00000156096	symbol
KRT6C	ENSG00000170465	symbol
MAGEA4	ENSG00000147381	symbol
DAPL1	ENSG00000163331	symbol
ROPN1B	ENSG00000114547	symbol
DLX2	ENSG00000115844	symbol
SLC13A2	ENSG00000007216	symbol
RTBDN	ENSG00000132026	symbol
PSG4	ENSG00000243137	symbol
C4BPA	ENSG00000123838	symbol
APOF	ENSG00000175336	symbol
CCL7	ENSG00000108688	symbol
SPRR3	ENSG00000163209	symbol
NPY2R	ENSG00000185149	symbol
CLDN19	ENSG00000164007	symbol
HOTAIR	ENSG00000228630	symbol
ABCA13	ENSG00000179869	symbol
MAGEA12	ENSG00000213401	symbol
IYD	ENSG00000009765	symbol
HEPACAM	ENSG00000165478	symbol
KRT6B	ENSG00000185479	symbol
LRP1B	ENSG00000168702	symbol
CIDEC	ENSG00000187288	symbol
PGC	ENSG00000096088	symbol
AKR1B10	ENSG00000198074	symbol
GPR139	ENSG00000180269	symbol
PRSS21	ENSG00000007038	symbol
GRIA1	ENSG00000155511	symbol
FGF10	ENSG00000070193	symbol
MSMB	ENSG00000263639	symbol
HOXC12	ENSG00000123407	symbol
MNX1	ENSG00000130675	symbol
TH	ENSG00000180176	symbol
MAPK4	ENSG00000141639	symbol
PRSS1	ENSG00000204983	symbol
TMPRSS4	ENSG00000137648	symbol
BPI	ENSG00000101425	symbol
CHGA	ENSG00000100604	symbol
PCSK1N	ENSG00000102109	symbol
SLC9A2	ENSG00000115616	symbol
HP	ENSG00000257017	symbol
HSD17B2	ENSG00000086696	symbol
ADH1C	ENSG00000248144	symbol
CA4	ENSG00000167434	symbol
GABRA3	ENSG00000011677	symbol
ONECUT2	ENSG00000119547	symbol
LRTM2	ENSG00000166159	symbol
KLK13	ENSG00000167759	symbol
OPRK1	ENSG00000082556	symbol
TCL1B	ENSG00000213231	symbol
SERPINB2	ENSG00000197632	symbol
GLYAT	ENSG00000149124	symbol
KLK10	ENSG00000129451	symbol
FOLR1	ENSG00000110195	symbol
GJB6	ENSG00000121742	symbol
DEFB132	ENSG00000186458	symbol
LGALS9B	ENSG00000170298	symbol
FAM81B	ENSG00000153347	symbol
EPHA8	ENSG00000070886	symbol
TCL1A	ENSG00000100721	symbol
BMP5	ENSG00000112175	symbol
POU4F1	ENSG00000152192	symbol
LHFPL5	ENSG00000197753	symbol
CYP24A1	ENSG00000019186	symbol
CDHR4	ENSG00000187492	symbol
PHF21B	ENSG00000056487	symbol
CYP4Z2P	ENSG00000154198	symbol
SEZ6L	ENSG00000100095	symbol
P2RX2	ENSG00000187848	symbol
TEKT1	ENSG00000167858	symbol
CD19	ENSG00000177455	symbol
CYP2B6	ENSG00000197408	symbol
TTC36	ENSG00000172425	symbol
ARHGDIG	ENSG00000242173	symbol
ATP6V0A4	ENSG00000105929	symbol
CAPSL	ENSG00000152611	symbol
PCDHA13	ENSG00000239389	symbol
MUC13	ENSG00000173702	symbol
HEPN1	ENSG00000221932	symbol
DLL3	ENSG00000090932	symbol
FOXI1	ENSG00000168269	symbol
CYP4F3	ENSG00000186529	symbol
FUT6	ENSG00000156413	symbol
WFDC6	ENSG00000243543	symbol
SLC7A3	ENSG00000165349	symbol
HS3ST4	ENSG00000182601	symbol
TBX20	ENSG00000164532	symbol
LEMD1	ENSG00000186007	symbol
TMEM215	ENSG00000188133	symbol
ABHD12B	ENSG00000131969	symbol
TUBA3C	ENSG00000198033	symbol
SPHKAP	ENSG00000153820	symbol
PADI3	ENSG00000142619	symbol
ZIC4	ENSG00000174963	symbol
ANO3	ENSG00000134343	symbol
TAC1	ENSG00000006128	symbol
FCN2	ENSG00000160339	symbol
UPK1A	ENSG00000105668	symbol
TDRD1	ENSG00000095627	symbol
ZIM2	ENSG00000269699	symbol
TNNT3	ENSG00000130595	symbol
CLCA2	ENSG00000137975	symbol
LGALS7B	ENSG00000178934	symbol
FOXD3	ENSG00000187140	symbol
GNG13	ENSG00000127588	symbol
SULT4A1	ENSG00000130540	symbol
FCER2	ENSG00000104921	symbol
NTNG1	ENSG00000162631	symbol
NBPF22P	ENSG00000205449	symbol
DPY19L2P4	ENSG00000235436	symbol
OCA2	ENSG00000104044	symbol
BRDT	ENSG00000137948	symbol
C1QL2	ENSG00000144119	symbol
SIX3	ENSG00000138083	symbol
SLC1A6	ENSG00000105143	symbol
CST9L	ENSG00000101435	symbol
KISS1R	ENSG00000116014	symbol
EN2	ENSG00000164778	symbol
ACADL	ENSG00000115361	symbol
MAG	ENSG00000105695	symbol
UGT2B10	ENSG00000109181	symbol
HABP2	ENSG00000148702	symbol
TNMD	ENSG00000000005	symbol
CST4	ENSG00000101441	symbol
GRIA4	ENSG00000152578	symbol
IGFL1	ENSG00000188293	symbol
OBP2A	ENSG00000122136	symbol
PTCHD3	ENSG00000182077	symbol
RIMS2	ENSG00000176406	symbol
MYT1	ENSG00000196132	symbol
RERGL	ENSG00000111404	symbol
CPA6	ENSG00000165078	symbol
SLC12A1	ENSG00000074803	symbol
SLC34A2	ENSG00000157765	symbol
CCKBR	ENSG00000110148	symbol
PAX5	ENSG00000196092	symbol
PEBP4	ENSG00000134020	symbol
UMOD	ENSG00000169344	symbol
PART1	ENSG00000152931	symbol
FOXJ1	ENSG00000129654	symbol
SCARA5	ENSG00000168079	symbol
AKR1B15	ENSG00000227471	symbol
EIF4E1B	ENSG00000175766	symbol
HOXC11	ENSG00000123388	symbol
GUCY1B2	ENSG00000123201	symbol
CMA1	ENSG00000092009	symbol
DNER	ENSG00000187957	symbol
TNNT2	ENSG00000118194	symbol
DMRTC2	ENSG00000142025	symbol
CSMD3	ENSG00000164796	symbol
OXGR1	ENSG00000165621	symbol
SNTN	ENSG00000188817	symbol
SPRR1A	ENSG00000169474	symbol
NOL4	ENSG00000101746	symbol
PON3	ENSG00000105852	symbol
SYT8	ENSG00000149043	symbol
PNLIPRP2	ENSG00000266200	symbol
PCP4	ENSG00000183036	symbol
EREG	ENSG00000124882	symbol
DNAH11	ENSG00000105877	symbol
TNFSF12-TNFSF13	ENSG00000248871	symbol
VWDE	ENSG00000146530	symbol
KRT37	ENSG00000108417	symbol
SLC4A10	ENSG00000144290	symbol
SCGB2A1	ENSG00000124939	symbol
TMEM40	ENSG00000088726	symbol
BBOX1	ENSG00000129151	symbol
SLC28A3	ENSG00000197506	symbol
SLC7A10	ENSG00000130876	symbol
GHRH	ENSG00000118702	symbol
PNMT	ENSG00000141744	symbol
DMBT1	ENSG00000187908	symbol
CACNG1	ENSG00000108878	symbol
C4BPB	ENSG00000123843	symbol
P2RY11	ENSG00000244165	symbol
DDC	ENSG00000132437	symbol
GJB1	ENSG00000169562	symbol
IRX4	ENSG00000113430	symbol
SYT5	ENSG00000129990	symbol
MARCO	ENSG00000019169	symbol
CELF3	ENSG00000159409	symbol
CSAG1	ENSG00000198930	symbol
CD300LG	ENSG00000161649	symbol
IL19	ENSG00000142224	symbol
SLC6A2	ENSG00000103546	symbol
AZU1	ENSG00000172232	symbol
IGSF1	ENSG00000147255	symbol
IL22RA2	ENSG00000164485	symbol
SLCO1A2	ENSG00000084453	symbol
PAX1	ENSG00000125813	symbol
KLK14	ENSG00000129437	symbol
PRSS33	ENSG00000103355	symbol
AADAC	ENSG00000114771	symbol
C2CD4A	ENSG00000198535	symbol
KRT83	ENSG00000170523	symbol
FBN3	ENSG00000142449	symbol
FREM2	ENSG00000150893	symbol
NPFFR2	ENSG00000056291	symbol
OGDHL	ENSG00000197444	symbol
TGM3	ENSG00000125780	symbol
SERPINB7	ENSG00000166396	symbol
PCDH8	ENSG00000136099	symbol
FOXN4	ENSG00000139445	symbol
ANGPTL7	ENSG00000171819	symbol
SYNPO2L	ENSG00000166317	symbol
ZMAT4	ENSG00000165061	symbol
ACTN2	ENSG00000077522	symbol
CYP4F12	ENSG00000186204	symbol
SLITRK1	ENSG00000178235	symbol
CEACAM7	ENSG00000007306	symbol
GPM6A	ENSG00000150625	symbol
TUBA3E	ENSG00000152086	symbol
STAC2	ENSG00000141750	symbol
FCRL1	ENSG00000163534	symbol
LIN28A	ENSG00000131914	symbol
SLC5A7	ENSG00000115665	symbol
RAET1L	ENSG00000155918	symbol
NPW	ENSG00000183971	symbol
LACRT	ENSG00000135413	symbol
MRGPRX3	ENSG00000179826	symbol
ANKFN1	ENSG00000153930	symbol
CTNNA2	ENSG00000066032	symbol
CXorf49B	ENSG00000215113	symbol
CRYM	ENSG00000103316	symbol
CLDN10	ENSG00000134873	symbol
OLIG1	ENSG00000184221	symbol
AQP7	ENSG00000165269	symbol
CNGA2	ENSG00000183862	symbol
INE2	ENSG00000281371	symbol
OTOR	ENSG00000125879	symbol
LGALS7	ENSG00000205076	symbol
AMY1A	ENSG00000237763	symbol
CD1A	ENSG00000158477	symbol
C6orf15	ENSG00000204542	symbol
FAM184B	ENSG00000047662	symbol
PCDH10	ENSG00000138650	symbol
LGI1	ENSG00000108231	symbol
LCT	ENSG00000115850	symbol
SMR3B	ENSG00000171201	symbol
SCRG1	ENSG00000164106	symbol
MDGA2	ENSG00000139915	symbol
PI16	ENSG00000164530	symbol
KLHL1	ENSG00000150361	symbol
DUSP9	ENSG00000130829	symbol
VIPR2	ENSG00000106018	symbol
TYRP1	ENSG00000107165	symbol
ANXA8L2	ENSG00000264230	alias
IP6K3	ENSG00000161896	symbol
PRSS3	ENSG00000010438	symbol
GSTA3	ENSG00000174156	symbol
CTSE	ENSG00000196188	symbol
MUC16	ENSG00000181143	symbol
UGT2B7	ENSG00000171234	symbol
TFF2	ENSG00000160181	symbol
SPINK4	ENSG00000122711	symbol
FAM3D	ENSG00000198643	symbol
PON1	ENSG00000005421	symbol
CD1B	ENSG00000158485	symbol
CSMD1	ENSG00000183117	symbol
CST1	ENSG00000170373	symbol
BLK	ENSG00000136573	symbol
SEC14L4	ENSG00000133488	symbol
GABRQ	ENSG00000268089	symbol
MAGEC1	ENSG00000155495	symbol
ZSCAN1	ENSG00000152467	symbol
NDST4	ENSG00000138653	symbol
ODAM	ENSG00000109205	symbol
KRTAP5-2	ENSG00000205867	symbol
SP5	ENSG00000204335	symbol
ATP10B	ENSG00000118322	symbol
MPPED1	ENSG00000186732	symbol
CSAG2	ENSG00000268902	symbol
ACE2	ENSG00000130234	symbol
PLA2G2A	ENSG00000188257	symbol
CHGB	ENSG00000089199	symbol
LHX1	ENSG00000273706	symbol
SDR16C5	ENSG00000170786	symbol
FOXI3	ENSG00000214336	symbol
S100G	ENSG00000169906	symbol
RFX6	ENSG00000185002	symbol
PCDHA12	ENSG00000251664	symbol
CLCA4	ENSG00000016602	symbol
FOXA3	ENSG00000170608	symbol
CD177	ENSG00000204936	symbol
CALML5	ENSG00000178372	symbol
PRB3	ENSG00000197870	symbol
TDRD12	ENSG00000173809	symbol
FCRL2	ENSG00000132704	symbol
LPAR3	ENSG00000171517	symbol
DHRS2	ENSG00000100867	symbol
OPRD1	ENSG00000116329	symbol
KRT1	ENSG00000167768	symbol
KLHDC7A	ENSG00000179023	symbol
SPINK5	ENSG00000133710	symbol
FAM135B	ENSG00000147724	symbol
FUT9	ENSG00000172461	symbol
PIK3C2G	ENSG00000139144	symbol
SPAG17	ENSG00000155761	symbol
TFDP3	ENSG00000183434	symbol
MOGAT2	ENSG00000166391	symbol
HS3ST5	ENSG00000249853	symbol
RP1	ENSG00000104237	symbol
GSTA2	ENSG00000244067	symbol
COL9A1	ENSG00000112280	symbol
INA	ENSG00000148798	symbol
ATP1A4	ENSG00000132681	symbol
HMX2	ENSG00000188816	symbol
EPYC	ENSG00000083782	symbol
GAL3ST2	ENSG00000154252	symbol
AMPD1	ENSG00000116748	symbol
CDK5R2	ENSG00000171450	symbol
CECR2	ENSG00000099954	symbol
ALB	ENSG00000163631	symbol
CXCL6	ENSG00000124875	symbol
AQP7P1	ENSG00000186466	symbol
SPATA4	ENSG00000150628	symbol
DLX6	ENSG00000006377	symbol
LINGO3	ENSG00000220008	symbol
TMC3	ENSG00000188869	symbol
SPRR1B	ENSG00000169469	symbol
SCN7A	ENSG00000136546	symbol
CHRNA9	ENSG00000174343	symbol
CHST4	ENSG00000140835	symbol
SH3GL2	ENSG00000107295	symbol
KCNJ16	ENSG00000153822	symbol
UPK3A	ENSG00000100373	symbol
ADAM29	ENSG00000168594	symbol
SFTPA2	ENSG00000185303	symbol
RASGEF1C	ENSG00000146090	symbol
KIRREL2	ENSG00000126259	symbol
ALOX15	ENSG00000161905	symbol
PRTN3	ENSG00000196415	symbol
EPO	ENSG00000130427	symbol
SOSTDC1	ENSG00000171243	symbol
VSIG2	ENSG00000019102	symbol
SYCE1	ENSG00000171772	symbol
SLC26A9	ENSG00000174502	symbol
MT1A	ENSG00000205362	symbol
CYP4F11	ENSG00000171903	symbol
ZFR2	ENSG00000105278	symbol
NEU4	ENSG00000204099	symbol
GABRA2	ENSG00000151834	symbol
DPY19L2P1	ENSG00000189212	symbol
CXCL5	ENSG00000163735	symbol
TUBA4B	ENSG00000243910	symbol
LCN2	ENSG00000148346	symbol
TRDN	ENSG00000186439	symbol
NEUROG2	ENSG00000178403	symbol
CFTR	ENSG00000001626	symbol
BARX1	ENSG00000131668	symbol
GDPD2	ENSG00000130055	symbol
SULT1E1	ENSG00000109193	symbol
CXCL17	ENSG00000189377	symbol
C10orf90	ENSG00000154493	symbol
DLX1	ENSG00000144355	symbol
WT1	ENSG00000184937	symbol
KRT14	ENSG00000186847	symbol
PCDHA11	ENSG00000249158	symbol
TEX15	ENSG00000133863	symbol
DSCR8	ENSG00000198054	symbol
MMP8	ENSG00000118113	symbol
MYOC	ENSG00000034971	symbol
MYO18B	ENSG00000133454	symbol
TGM5	ENSG00000104055	symbol
LEFTY2	ENSG00000143768	symbol
KBTBD12	ENSG00000187715	symbol
HS6ST3	ENSG00000185352	symbol
LGALS12	ENSG00000133317	symbol
DNAH3	ENSG00000158486	symbol
IGFL3	ENSG00000188624	symbol
TRHDE	ENSG00000072657	symbol
PCDH11X	ENSG00000102290	symbol
GTF2A1L	ENSG00000242441	symbol
UGT3A2	ENSG00000168671	symbol
PLA2G10	ENSG00000069764	symbol
HS3ST6	ENSG00000162040	symbol
SPINK1	ENSG00000164266	symbol
HTR3A	ENSG00000166736	symbol
LRAT	ENSG00000121207	symbol
ZBTB8B	ENSG00000273274	symbol
MYO3B	ENSG00000071909	symbol
ELF5	ENSG00000135374	symbol
SAA4	ENSG00000148965	symbol
CDH18	ENSG00000145526	symbol
AMTN	ENSG00000187689	symbol
TBX10	ENSG00000167800	symbol
ANKRD34B	ENSG00000189127	symbol
FRMPD2	ENSG00000170324	symbol
SORCS3	ENSG00000156395	symbol
BRSK2	ENSG00000174672	symbol
TRIM55	ENSG00000147573	symbol
ARMC3	ENSG00000165309	symbol
TNNT1	ENSG00000105048	symbol
KCNH6	ENSG00000173826	symbol
GFRA3	ENSG00000146013	symbol
C11orf86	ENSG00000173237	symbol
LDLRAD1	ENSG00000203985	symbol
CACNA1B	ENSG00000148408	symbol
SCN1A	ENSG00000144285	symbol
SVOPL	ENSG00000157703	symbol
NXNL2	ENSG00000130045	symbol
TUBA3D	ENSG00000075886	symbol
DIO1	ENSG00000211452	symbol
AMBP	ENSG00000106927	symbol
FLJ16779	ENSG00000275620	symbol
IFNG	ENSG00000111537	symbol
PPP1R1C	ENSG00000150722	symbol
PTCHD1	ENSG00000165186	symbol
CA6	ENSG00000131686	symbol
FGL1	ENSG00000104760	symbol
CHST9	ENSG00000154080	symbol
PGLYRP4	ENSG00000163218	symbol
ACY3	ENSG00000132744	symbol
TRIM72	ENSG00000177238	symbol
CDH22	ENSG00000149654	symbol
SERPINB3	ENSG00000057149	symbol
PAEP	ENSG00000122133	symbol
SLC7A13	ENSG00000164893	symbol
LY6G6C	ENSG00000204421	symbol
BMP3	ENSG00000152785	symbol
CAMP	ENSG00000164047	symbol
C1QL4	ENSG00000186897	symbol
SCG3	ENSG00000104112	symbol
SCAND3	ENSG00000232040	symbol
RNF183	ENSG00000165188	symbol
NETO1	ENSG00000166342	symbol
HGD	ENSG00000113924	symbol
GDF1	ENSG00000130283	symbol
CCL21	ENSG00000137077	symbol
NLRP7	ENSG00000167634	symbol
SYT13	ENSG00000019505	symbol
SLC27A6	ENSG00000113396	symbol
GAD1	ENSG00000128683	symbol
MYO3A	ENSG00000095777	symbol
DEFB1	ENSG00000164825	symbol
SLC24A2	ENSG00000155886	symbol
MIA	ENSG00000261857	symbol
TNFRSF13B	ENSG00000240505	symbol
SLC5A12	ENSG00000148942	symbol
RGS22	ENSG00000132554	symbol
SERPINA12	ENSG00000165953	symbol
CAPN8	ENSG00000203697	symbol
EPHA6	ENSG00000080224	symbol
PCDHA1	ENSG00000204970	symbol
GAS2L2	ENSG00000270765	symbol
MAGEB4	ENSG00000120289	symbol
FAM181B	ENSG00000182103	symbol
PLEKHG7	ENSG00000187510	symbol
C12orf56	ENSG00000185306	symbol
SH3GL3	ENSG00000140600	symbol
FIBCD1	ENSG00000130720	symbol
HPSE2	ENSG00000172987	symbol
PNLDC1	ENSG00000146453	symbol
SLC30A2	ENSG00000158014	symbol
SERPINA4	ENSG00000100665	symbol
KRT9	ENSG00000171403	symbol
DMRTC1B	ENSG00000184911	symbol
KRT32	ENSG00000108759	symbol
EDDM3B	ENSG00000181552	symbol
IGFBPL1	ENSG00000137142	symbol
CAPN6	ENSG00000077274	symbol
ADCYAP1	ENSG00000141433	symbol
SLC5A1	ENSG00000100170	symbol
LPO	ENSG00000167419	symbol
CT62	ENSG00000225362	symbol
ABCC6P1	ENSG00000256340	symbol
CYP4A11	ENSG00000187048	symbol
KRT16	ENSG00000186832	symbol
TMEM151A	ENSG00000179292	symbol
CST2	ENSG00000170369	symbol
PRSS50	ENSG00000283706	symbol
LMO1	ENSG00000166407	symbol
FUT3	ENSG00000171124	symbol
SHISA9	ENSG00000237515	symbol
IL1RAPL2	ENSG00000189108	symbol
RGS7	ENSG00000182901	symbol
PCDHA8	ENSG00000204962	symbol
ASCL4	ENSG00000187855	symbol
SERPINB4	ENSG00000206073	symbol
SGCG	ENSG00000102683	symbol
CHST8	ENSG00000124302	symbol
MMP12	ENSG00000262406	symbol
PNCK	ENSG00000130822	symbol
ROBO2	ENSG00000185008	symbol
SPOCK3	ENSG00000196104	symbol
DRD1	ENSG00000184845	symbol
CYP4F22	ENSG00000171954	symbol
CELF5	ENSG00000161082	symbol
UCP1	ENSG00000109424	symbol
ZBTB16	ENSG00000109906	symbol
TNFRSF17	ENSG00000048462	symbol
SMC1B	ENSG00000077935	symbol
TMPRSS6	ENSG00000187045	symbol
SERPINA9	ENSG00000170054	symbol
TRPM8	ENSG00000144481	symbol
SNORD116-4	ENSG00000275529	symbol
CADM2	ENSG00000175161	symbol
ZAN	ENSG00000146839	symbol
CTAG1B	ENSG00000184033	symbol
STXBP5L	ENSG00000145087	symbol
DLGAP1	ENSG00000170579	symbol
JSRP1	ENSG00000167476	symbol
KLRC4	ENSG00000183542	symbol
PENK	ENSG00000181195	symbol
TTPA	ENSG00000137561	symbol
ZBBX	ENSG00000169064	symbol
CRISP2	ENSG00000124490	symbol
TRPA1	ENSG00000104321	symbol
KCNA1	ENSG00000111262	symbol
C7	ENSG00000112936	symbol
QRFPR	ENSG00000186867	symbol
LRRIQ1	ENSG00000133640	symbol
MYPN	ENSG00000138347	symbol
GRIK1	ENSG00000171189	symbol
CIB3	ENSG00000141977	symbol
SFRP5	ENSG00000120057	symbol
DNASE2B	ENSG00000137976	symbol
FAM177B	ENSG00000197520	symbol
SLC26A5	ENSG00000170615	symbol
CNTN5	ENSG00000149972	symbol
FADS6	ENSG00000172782	symbol
PSORS1C2	ENSG00000204538	symbol
